specification_id,specification_label,family,definition,population_role,region,quantity,point_estimate,percentile_2_5,percentile_97_5,interval_relation_to_zero,successful_replicates,failure_count,units,site_count,early_rows,later_rows,fit_rows,standardization_rows,fit_population_sha256,standardization_population_sha256,component_relation,difference_from_primary,absolute_difference_from_primary,sign_agreement_with_primary,interval_relation_agreement_with_primary,component_relation_agreement_with_primary,review_flag_absolute_difference_ge_0_5_ppb,display_point,display_interval,point_source_path,point_source_record,interval_source_path,interval_source_record
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northern Rockies and Plains,total_change,1.5180754093367526,0.9955228008318695,2.147227311861459,entirely_above_zero,1000,0,ppb,34,45144,44658,89802,89802,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.050065382485442456,0.050065382485442456,True,True,True,False,+1.52,"[1.00, 2.15]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northern Rockies and Plains'].total_change,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='total_change']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northwest,A,37.824427057985886,35.472579802034964,40.12714707787942,entirely_above_zero,1000,0,ppb,21,19106,18587,37693,37693,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.05114695169721273,0.05114695169721273,True,True,True,False,+37.82,"[35.47, 40.13]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northwest'].A,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northwest',quantity='A']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northwest,B,38.38590045255255,35.946538972880205,40.75072905364459,entirely_above_zero,1000,0,ppb,21,19106,18587,37693,37693,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.09548936281238696,0.09548936281238696,True,True,True,False,+38.39,"[35.95, 40.75]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northwest'].B,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northwest',quantity='B']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northwest,C,38.49488219168073,35.96906485990269,41.0051413654989,entirely_above_zero,1000,0,ppb,21,19106,18587,37693,37693,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.08128055942741241,0.08128055942741241,True,True,True,False,+38.49,"[35.97, 41.01]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northwest'].C,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northwest',quantity='C']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northwest,D,38.988113733873725,36.403930099491866,41.41755071382642,entirely_above_zero,1000,0,ppb,21,19106,18587,37693,37693,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.136989615002733,0.136989615002733,True,True,True,False,+38.99,"[36.40, 41.42]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northwest'].D,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northwest',quantity='D']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northwest,temperature_distribution_component,0.5273524683798279,0.2902185413670332,0.7834285130613506,entirely_above_zero,1000,0,ppb,21,19106,18587,37693,37693,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.0500257333452474,0.0500257333452474,True,True,True,False,+0.53,"[0.29, 0.78]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northwest'].temperature_distribution_component,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northwest',quantity='temperature_distribution_component']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northwest,response_component,0.6363342075080105,-0.21614863409815052,1.6154232710088738,includes_zero,1000,0,ppb,21,19106,18587,37693,37693,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.03581692996027286,0.03581692996027286,True,True,True,False,+0.64,"[-0.22, 1.62]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northwest'].response_component,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northwest',quantity='response_component']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northwest,total_change,1.1636866758878384,0.36114236120386245,1.9878398093444674,entirely_above_zero,1000,0,ppb,21,19106,18587,37693,37693,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.08584266330552026,0.08584266330552026,True,True,True,False,+1.16,"[0.36, 1.99]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northwest'].total_change,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northwest',quantity='total_change']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Ohio Valley,A,42.59471164368475,42.204009320106834,42.98473618274917,entirely_above_zero,1000,0,ppb,133,156088,158189,314277,314277,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,oppose,-0.004586282496411798,0.004586282496411798,True,True,True,False,+42.59,"[42.20, 42.98]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Ohio Valley'].A,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Ohio Valley',quantity='A']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Ohio Valley,B,42.427797145072965,42.03014939112077,42.82025463704874,entirely_above_zero,1000,0,ppb,133,156088,158189,314277,314277,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,oppose,-0.0062081594001597296,0.0062081594001597296,True,True,True,False,+42.43,"[42.03, 42.82]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Ohio Valley'].B,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Ohio Valley',quantity='B']"
