specification_id,specification_label,family,definition,population_role,region,quantity,point_estimate,percentile_2_5,percentile_97_5,interval_relation_to_zero,successful_replicates,failure_count,units,site_count,early_rows,later_rows,fit_rows,standardization_rows,fit_population_sha256,standardization_population_sha256,component_relation,difference_from_primary,absolute_difference_from_primary,sign_agreement_with_primary,interval_relation_agreement_with_primary,component_relation_agreement_with_primary,review_flag_absolute_difference_ge_0_5_ppb,display_point,display_interval,point_source_path,point_source_record,interval_source_path,interval_source_record
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northern Rockies and Plains,total_change,1.568140791822195,0.9784748710291048,2.170650130318274,entirely_above_zero,1000,0,ppb,34,45163,44754,89917,89917,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+1.57,"[0.98, 2.17]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northern Rockies and Plains'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='total_change']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northwest,A,37.8755740096831,35.43995361794838,40.266536812485505,entirely_above_zero,1000,0,ppb,21,19147,18673,37820,37820,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+37.88,"[35.44, 40.27]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northwest'].A,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northwest',quantity='A']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northwest,B,38.481389815364935,35.9300621914687,40.887300258229004,entirely_above_zero,1000,0,ppb,21,19147,18673,37820,37820,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+38.48,"[35.93, 40.89]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northwest'].B,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northwest',quantity='B']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northwest,C,38.57616275110814,35.970539220480106,41.327348107945376,entirely_above_zero,1000,0,ppb,21,19147,18673,37820,37820,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+38.58,"[35.97, 41.33]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northwest'].C,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northwest',quantity='C']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northwest,D,39.12510334887646,36.384069302783224,41.87246523259209,entirely_above_zero,1000,0,ppb,21,19147,18673,37820,37820,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+39.13,"[36.38, 41.87]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northwest'].D,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northwest',quantity='D']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northwest,temperature_distribution_component,0.5773782017250753,0.3271741134088898,0.7888153730651084,entirely_above_zero,1000,0,ppb,21,19147,18673,37820,37820,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+0.58,"[0.33, 0.79]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northwest'].temperature_distribution_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northwest',quantity='temperature_distribution_component']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northwest,response_component,0.6721511374682834,-0.32481625601173975,1.6942409458695042,includes_zero,1000,0,ppb,21,19147,18673,37820,37820,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+0.67,"[-0.32, 1.69]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northwest'].response_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northwest',quantity='response_component']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northwest,total_change,1.2495293391933586,0.3151666727413513,2.173922741754575,entirely_above_zero,1000,0,ppb,21,19147,18673,37820,37820,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+1.25,"[0.32, 2.17]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northwest'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northwest',quantity='total_change']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Ohio Valley,A,42.59929792618116,42.21077580443296,42.95502516823094,entirely_above_zero,1000,0,ppb,133,156120,158259,314379,314379,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,oppose,0.0,0.0,True,True,True,False,+42.60,"[42.21, 42.96]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Ohio Valley'].A,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Ohio Valley',quantity='A']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Ohio Valley,B,42.434005304473125,42.05353978927918,42.78005340555216,entirely_above_zero,1000,0,ppb,133,156120,158259,314379,314379,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,oppose,0.0,0.0,True,True,True,False,+42.43,"[42.05, 42.78]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Ohio Valley'].B,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Ohio Valley',quantity='B']"
